MP.7,""," len(keypoints) image 1",len(keypoints) image 2,len(keypoints) image 3,len(keypoints) image 4,len(keypoints) image 5," len(keypoints) image 6",len(keypoints) image 7,len(keypoints) image 8,len(keypoints) image 9,len(keypoints) image 10,"note on distribution of keypoint size"
DETECTOR,"","",,,,,"",,,,,""
Shitomasi,"","124",119,122,117,115,"114",112,122,112,109,"All are size 4."
Harris,"","49",39,62,56,83,"312",36,130,93,186,"All are size 2."
FAST,"","408",419,393,420,374,"399",411,400,391,393,"All are size 7."
BRISK,"","254",274,276,275,293,"275",289,268,259,249,"Most between 8 and 20."
ORB,"","87",101,105,110,106,"121",128,120,117,117,"Most between 31 and 45."
AKAZE,"","162",157,159,154,162,"163",173,175,175,175,"Most between 4.8 to 8.07."
SIFT,"","137",131,121,135,134,"139",136,147,156,135,"Most between 1.8 to 8.9."
,"","",,,,,"",,,,,""
,"","",,,,,"",,,,,""
MP.8,"","matched kpts img1-img2",matched kpts img2-img3,matched kpts img3-img4,matched kpts img4-img5,matched kpts img5-img6,"matched kpts img6-img7",matched kpts img7-img8,matched kpts img8-img9,matched kpts img9-img10,,""
DETECTOR,"DESCRIPTOR","",,,,,"",,,,,""
Shitomasi,"BRISK","96",88,78,87,83,"78",84,86,80,,""
Harris,"BRISK","29",21,33,28,30,"77",21,66,55,,""
FAST,"BRISK","252",235,244,239,208,"245",244,243,245,,""
BRISK,"BRISK","168",169,157,170,171,"186",174,168,184,,""
ORB,"BRISK","72",73,78,83,78,"89",88,83,84,,""
AKAZE,"BRISK","134",124,129,128,130,"132",142,144,141,,""
SIFT,"BRISK","63",64,60,65,59,"65",64,67,79,,""
Shitomasi,"BRIEF","115",111,102,100,101,"99",99,109,101,,""
Harris,"BRIEF","25",19,45,28,26,"114",17,70,50,,""
FAST,"BRIEF","311",325,292,331,266,"316",313,310,302,,""
BRISK,"BRIEF","174",195,182,177,182,"193",208,187,179,,""
ORB,"BRIEF","46",42,45,59,53,"73",68,81,63,,""
AKAZE,"BRIEF","137",133,130,130,134,"146",150,147,150,,""
SIFT,"BRIEF","86",76,72,83,69,"75",76,69,87,,""
Shitomasi,"ORB","106",102,96,100,104,"95",97,104,96,,""
Harris,"ORB","26",20,36,27,26,"104",18,75,60,,""
FAST,"ORB","298",303,294,314,270,"302",313,297,303,,""
BRISK,"ORB","155",167,155,161,156,"181",165,171,170,,""
ORB,"ORB","63",69,71,82,88,"96",90,88,84,,""
AKAZE,"ORB","128",128,126,118,129,"131",136,136,143,,""
SIFT,"ORB","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
Shitomasi,"FREAK","87",90,83,87,86,"79",80,86,83,,""
Harris,"FREAK","28",25,35,31,33,"96",21,84,55,,""
FAST,"FREAK","244",243,232,252,223,"259",239,252,245,,""
BRISK,"FREAK","154",173,153,168,158,"181",169,174,165,,""
ORB,"FREAK","37",35,43,45,43,"51",48,45,49,,""
AKAZE,"FREAK","123",128,128,121,122,"133",144,145,135,,""
SIFT,"FREAK","64",70,62,65,59,"60",64,65,79,,""
Shitomasi,"AKAZE","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
Harris,"AKAZE","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
FAST,"AKAZE","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
BRISK,"AKAZE","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
ORB,"AKAZE","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
AKAZE,"AKAZE","135",138,132,126,128,"146",147,149,148,,""
SIFT,"AKAZE","NA",NA,NA,NA,NA,"NA",NA,NA,NA,,""
Shitomasi,"SIFT","113",108,101,101,101,"101",95,109,102,,""
Harris,"SIFT","28",26,33,29,26,"111",24,84,55,,""
FAST,"SIFT","319",328,314,321,282,"324",321,335,318,,""
BRISK,"SIFT","178",195,181,178,175,"193",199,175,185,,""
ORB,"SIFT","65",77,81,82,81,"93",92,91,88,,""
AKAZE,"SIFT","137",137,135,139,139,"147",151,153,152,,""
SIFT,"SIFT","83",83,84,93,90,"86",85,106,99,,""
,"","",,,,,"",,,,,""
MP.9,"","Avg. time taken for detection 
and descriptor extraction (ms)",,,,,"",,,,,""
DETECTOR,"DESCRIPTOR","",,,,,"",,,,,""
Shitomasi,"BRISK","27",,,,,"",,,,,""
Harris,"BRISK","27",,,,,"",,,,,""
FAST,"BRISK","8",,,,,"",,,,,""
BRISK,"BRISK","47",,,,,"",,,,,""
ORB,"BRISK","15",,,,,"",,,,,""
AKAZE,"BRISK","141",,,,,"",,,,,""
SIFT,"BRISK","185",,,,,"",,,,,""
Shitomasi,"BRIEF","29",,,,,"",,,,,""
Harris,"BRIEF","29",,,,,"",,,,,""
FAST,"BRIEF","7",,,,,"",,,,,""
BRISK,"BRIEF","45",,,,,"",,,,,""
ORB,"BRIEF","22",,,,,"",,,,,""
AKAZE,"BRIEF","163",,,,,"",,,,,""
SIFT,"BRIEF","245",,,,,"",,,,,""
Shitomasi,"ORB","37",,,,,"",,,,,""
Harris,"ORB","28",,,,,"",,,,,""
FAST,"ORB","6",,,,,"",,,,,""
BRISK,"ORB","51",,,,,"",,,,,""
ORB,"ORB","20",,,,,"",,,,,""
AKAZE,"ORB","161",,,,,"",,,,,""
SIFT,"ORB","NA",,,,,"",,,,,""
Shitomasi,"FREAK","90",,,,,"",,,,,""
Harris,"FREAK","83",,,,,"",,,,,""
FAST,"FREAK","57",,,,,"",,,,,""
BRISK,"FREAK","104",,,,,"",,,,,""
ORB,"FREAK","72",,,,,"",,,,,""
AKAZE,"FREAK","218",,,,,"",,,,,""
SIFT,"FREAK","255",,,,,"",,,,,""
Shitomasi,"AKAZE","NA",,,,,"",,,,,""
Harris,"AKAZE","NA",,,,,"",,,,,""
FAST,"AKAZE","NA",,,,,"",,,,,""
BRISK,"AKAZE","NA",,,,,"",,,,,""
ORB,"AKAZE","NA",,,,,"",,,,,""
AKAZE,"AKAZE","291",,,,,"",,,,,""
SIFT,"AKAZE","NA",,,,,"",,,,,""
Shitomasi,"SIFT","56",,,,,"",,,,,""
Harris,"SIFT","59",,,,,"",,,,,""
FAST,"SIFT","82",,,,,"",,,,,""
BRISK,"SIFT","139",,,,,"",,,,,""
ORB,"SIFT","143",,,,,"",,,,,""
AKAZE,"SIFT","235",,,,,"",,,,,""
SIFT,"SIFT","64",,,,,"",,,,,""
